tconst,averagerating,numvotes
tt0862748,5.5,1874
tt0873886,6.1,69826
tt0878814,4.5,1899
tt0878835,6.6,11944
tt0879870,5.9,112968
tt0887261,5.9,54983
tt0889573,6.1,116919
tt0900387,7,30325
tt0901504,4.4,2504
tt0918940,6.2,196704
tt0920459,6.7,3092
tt0920462,4.7,6244
tt0926084,7.7,656295
tt0940656,5.5,11456
tt0947798,8,881406
tt0947810,6.8,147177
tt0948470,6.9,755827
tt0954947,6.1,36877
tt0955308,6.6,294840
tt0964517,7.8,405654
tt0968264,6.9,30970
tt0977855,6.8,52672
tt0978764,6.1,260241
tt0979432,8.6,216347
tt0979434,5.1,11992
tt0989757,6.3,163030
tt0990363,2.9,1015
tt0990407,5.8,168538
tt0997035,7,2082
tt0997152,6.4,59564
tt0999913,5.8,37541
tt10002654,6.2,1130
tt10003008,5.7,42934
tt10004108,4.7,2992
tt10004368,7,1557
tt10006006,5.4,8755
tt10006270,4.9,1030
tt10039344,5.4,52147
tt10042058,6.7,3766
tt10042074,7.9,2534
tt10042110,5.7,3297
tt10042186,4,3890
tt10042260,6,5822
tt10042590,5.9,1099
tt10043660,3.8,1118
tt10044800,6.8,4033
tt10044952,6.6,3015
tt10045256,6.9,1677
tt10045434,6.9,2513
tt10045490,6.7,3921
tt10047904,6.7,1156
tt10047958,3.5,4792
tt10048342,8.5,651582
tt10050766,7.7,1920
tt10050772,8.1,26125
tt10050778,7.8,3416
tt10050782,7.1,1632
tt10053944,6.5,1115
tt10054316,4.4,2840
tt10054946,7.7,1150
tt10055028,7.4,1342
tt10055546,5.3,1651
tt10055734,7.1,4496
tt10055770,7.1,1997
tt10059166,6.4,2108
tt10059518,6,85920
tt10094918,4.5,1263
tt10095336,6.8,1653
tt10095582,7.1,43737
tt10096842,4.6,8170
tt10097544,5.8,2203
tt10098248,8.4,1862
tt10098288,4.3,11510
tt10098448,7.1,16385
tt10098498,7.3,2342
tt10098580,7.9,1343
tt10098620,7.5,15127
tt10098728,6.4,4037
tt10101272,7.3,2329
tt10101518,5.9,4953
tt10101702,6.8,5029
tt10106108,7.1,2172
tt10107222,6.6,1458
tt10110350,8.9,1927
tt10110614,6.8,6122
tt10149868,4.1,1670
tt10151054,5.5,3898
tt10151260,7.1,3504
tt10151772,6.1,1749
tt10151854,5.9,143553
tt10152736,5.9,31593
tt1015471,6,2328
tt10155342,6.6,1345
tt10155688,8.4,217558
tt10155932,4.4,50074
tt10156112,7.3,1804
tt10160592,7.7,4587
tt10160804,7.4,240248
tt10160886,4.9,2161
tt1016090,3.8,2157
tt10160974,4.9,2104
tt10160976,5.6,79566
tt10161238,6.2,1769
tt1016150,7.8,309043
tt10161886,5.9,30412
tt10162384,6.8,6719
tt1016241,3.9,1152
tt10163204,6.5,1585
tt10164206,3.5,1665
tt10165918,3.4,2404
tt10166602,8,24420
tt10166622,7.5,41929
tt10167012,6.6,1294
tt10167284,6.6,3070
tt10168312,7.3,158781
tt10168670,6.8,71773
tt10168672,4.8,1983
tt10171472,6.3,7517
tt10171930,7.3,1081
tt10172266,7,63417
tt10174244,7.5,3594
tt1017451,6.5,52452
tt1017464,5.4,8639
tt10176734,6.6,1204
tt10177634,5.5,1068
tt10268488,6.8,36237
tt10268550,6.5,1311
tt10270200,6.1,2290
tt10270416,2.7,1162
tt10272386,8.2,240760
tt10272534,6.2,8657
tt10273738,4.3,2834
tt10274284,5.2,9923
tt10275534,6.6,55799
tt10276062,6.9,3182
tt10276470,6.1,17656
tt10276482,5.9,18712
tt1027683,3.9,2044
tt1027718,6.2,109533
tt1027820,5.6,5677
tt10278918,5.7,35284
tt10279176,6.9,3516
tt10279362,5.9,9545
tt10279472,3.7,11026
tt10280276,4.2,74755
tt10280296,8.3,50332
tt10283270,6.2,1694
tt10283902,4.7,2871
tt10284944,4.7,2185
tt10285166,7.2,3155
tt10285320,8.6,1071
tt1028576,7.2,32408
tt10287954,7,27382
tt10288566,7.7,222893
tt10289938,7.9,6396
tt10289996,7.5,1624
tt10290114,7.2,3440
tt10290116,6,1616
tt10290244,7.1,1207
tt10290510,5.5,1166
tt1029231,5.4,28361
tt10293406,6.8,220974
tt1029360,4.9,64261
tt10293938,7.5,104119
tt10294164,7,7838
tt10295168,6.1,1078
tt10295212,8.3,135704
tt10295602,6.2,1020
tt10297640,6.1,1186
tt10298810,6.1,134756
tt10298840,5.7,50152
tt10298896,6.3,1579
tt10300174,6.7,1133
tt10300450,3.6,1003
tt10300570,8.7,10016
tt10354106,5.5,4718
tt10358022,5.7,3339
tt10358198,4.2,7996
tt10358782,6.8,1511
tt10359446,8.2,5863
tt10360104,5.2,1755
tt10360772,6.3,6339
tt10360862,6.9,7699
tt10361016,6.1,11364
tt10362466,5.1,43525
tt10362566,5.3,6189
tt10362632,6.9,1334
tt10364034,6.1,8023
tt10364808,7.5,1259
tt10365912,7.5,8009
tt10365978,8.1,1914
tt10365998,6,72582
tt10366206,7.6,404227
tt10366428,6,1155
tt10366460,8,203622
tt10366514,6.3,8900
tt10366574,7.3,4574
tt10367990,6.5,1506
tt10369484,6.7,10635
tt10369876,7.6,2336
tt1038686,5.3,118878
tt1038693,7.1,3381
tt1038919,5.6,139654
tt10393870,6,44400
tt10394706,6.6,2622
tt10394738,7.5,8567
tt10394770,7.3,5523
tt10394778,5.4,2228
tt10394800,9,4295
tt10394844,6.3,5340
tt10394886,7.2,7705
tt10395866,6.6,2669
tt10397854,5.9,1626
tt10398318,4.8,1847
tt10399608,6.2,15831
tt10399622,6.8,1939
tt10399902,7.9,22048
tt10400028,6.2,5127
tt10403420,6,80798
tt10441806,5.6,6244
tt10441822,5.7,1737
tt10441958,5.8,2488
tt10442108,8.1,1199
tt10442352,5.7,3329
tt10443252,4.4,3144
tt10443362,6.6,1597
tt10443794,7.2,1466
tt10443808,7,2771
tt10443844,6.6,1307
tt10443846,7.8,5051
tt10443972,7.4,1764
tt10446930,4.5,1350
tt10449052,5.4,1480
tt10373344,6.5,2538
tt10374610,6.7,95798
tt10375094,7.8,3279
tt10375106,6.6,7579
tt10375396,6,4219
tt10375682,6.8,2157
tt10375886,6.7,1176
tt10375972,6.4,1888
tt10376904,6.3,1283
tt1037705,6.8,358843
tt10378798,2.2,1044
tt10380768,7.5,18141
tt10380900,6.6,3557
tt10380908,6.2,1341
tt10380934,6.7,1850
tt10381014,6.5,4322
tt10381102,6.5,1625
tt10383046,8.6,5234
tt10383902,6.6,1285
tt10384106,6.8,2877
tt10384610,8.4,6023
